game,player,team,pts,reb,ast,tov,fg_m,fg_a,tp_m,tp_a,ft_m,ft_a,stl,blk,pm
G1,Jaylin Williams,OKC,0,3,0,1,0,0,0,0,0,0,0,0,-6
G1,Jalen Williams,OKC,26,7,3,2,11,25,1,3,3,3,1,1,-3
G1,Jared McCain,OKC,7,2,1,2,3,6,1,3,0,0,0,0,9
G1,Aaron Wiggins,OKC,0,0,0,0,0,3,0,3,0,0,0,0,-7
G1,Ajay Mitchell,OKC,4,4,5,0,2,5,0,1,0,0,2,0,7
G1,Chet Holmgren,OKC,8,8,0,1,2,7,2,4,2,2,1,2,-7
G1,Shai Gilgeous-Alexander,OKC,24,3,12,4,7,23,2,7,8,9,5,1,-15
G1,Alex Caruso,OKC,31,2,1,2,11,19,8,14,1,3,2,2,0
G1,Luguentz Dort,OKC,5,3,1,0,2,6,1,5,0,0,0,0,-6
G1,Cason Wallace,OKC,8,6,0,1,3,6,2,5,0,0,2,0,-9
G1,Isaiah Hartenstein,OKC,2,2,2,1,0,1,0,0,2,2,1,2,2
G1,Devin Vassell,SAS,13,6,2,3,5,12,3,9,0,0,1,2,3
G1,Luke Kornet,SAS,0,3,1,1,0,1,0,0,0,0,0,0,-9
G1,Victor Wembanyama,SAS,41,24,3,3,14,25,1,2,12,13,1,3,16
G1,Harrison Barnes,SAS,0,0,0,0,0,1,0,0,0,0,0,0,-9
G1,Dylan Harper,SAS,24,11,6,1,8,20,1,7,7,7,7,0,14
G1,Stephon Castle,SAS,17,6,11,11,5,14,1,6,6,7,1,0,-1
G1,Julian Champagnie,SAS,11,9,1,1,4,12,3,11,0,0,1,2,8
G1,Carter Bryant,SAS,3,2,1,0,1,2,1,2,0,0,0,0,10
G1,Keldon Johnson,SAS,13,0,0,1,4,9,3,6,2,2,0,0,3
G2,Isaiah Joe,OKC,0,0,1,0,0,3,0,2,0,0,0,0,1
G2,Ajay Mitchell,OKC,10,0,2,3,4,8,0,2,2,2,4,1,11
G2,Aaron Wiggins,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0
G2,Jaylin Williams,OKC,6,3,2,0,2,6,2,6,0,0,0,0,-5
G2,Jalen Williams,OKC,4,1,0,0,2,4,0,0,0,0,2,0,2
G2,Chet Holmgren,OKC,13,4,2,1,5,10,0,2,3,4,0,0,6
G2,Luguentz Dort,OKC,8,3,3,1,3,4,1,2,1,2,0,0,-10
G2,Shai Gilgeous-Alexander,OKC,30,4,9,1,12,24,0,3,6,6,1,2,14
G2,Cason Wallace,OKC,12,4,4,0,4,6,4,6,0,0,4,0,-3
G2,Jared McCain,OKC,12,6,3,0,4,14,3,9,1,2,2,0,9
G2,Isaiah Hartenstein,OKC,10,13,3,3,4,8,0,0,2,4,0,0,2
G2,Alex Caruso,OKC,17,3,5,0,5,7,3,4,4,4,1,1,18
G2,Dylan Harper,SAS,12,2,3,1,5,10,0,0,2,2,0,1,6
G2,Keldon Johnson,SAS,10,5,1,1,4,12,2,4,0,1,0,1,-14
G2,Harrison Barnes,SAS,5,3,0,2,1,2,1,2,2,2,0,0,-1
G2,Jordan McLaughlin,SAS,6,1,1,1,2,3,2,2,0,0,0,0,-10
G2,Stephon Castle,SAS,25,5,8,9,10,17,1,6,4,4,1,0,-11
G2,Julian Champagnie,SAS,8,5,2,0,2,8,1,7,3,4,1,0,11
G2,Luke Kornet,SAS,4,2,0,0,2,2,0,0,0,0,1,0,-10
G2,Devin Vassell,SAS,22,4,1,1,7,14,6,12,2,2,0,1,-7
G2,Victor Wembanyama,SAS,21,17,6,4,8,16,3,7,2,2,1,4,1
G2,Carter Bryant,SAS,0,1,0,2,0,0,0,0,0,0,1,1,-10
G3,De'Aaron Fox,SAS,15,7,6,4,7,14,1,6,0,0,1,0,9
G3,Stephon Castle,SAS,14,5,7,1,1,8,1,5,11,14,1,2,-17
G3,Victor Wembanyama,SAS,26,4,3,2,8,15,2,5,8,10,1,2,4
G3,Harrison Barnes,SAS,0,0,0,0,0,1,0,1,0,0,0,0,2
G3,Dylan Harper,SAS,6,3,2,2,2,7,1,3,1,2,0,0,-13
G3,Mason Plumlee,SAS,2,0,1,0,1,1,0,0,0,0,0,1,0
G3,Kelly Olynyk,SAS,3,0,0,2,1,1,1,1,0,0,0,0,0
G3,Luke Kornet,SAS,4,2,1,2,2,3,0,0,0,0,0,0,-18
G3,Carter Bryant,SAS,3,1,1,1,1,3,1,2,0,0,0,0,-10
G3,Keldon Johnson,SAS,5,2,0,1,1,5,1,4,2,2,0,0,-23
G3,Julian Champagnie,SAS,10,5,2,0,4,10,2,8,0,0,1,1,-4
G3,Devin Vassell,SAS,20,7,2,0,6,12,3,6,5,5,4,1,-5
G3,Jordan McLaughlin,SAS,0,1,1,0,0,0,0,0,0,0,0,0,0
G3,Alex Caruso,OKC,15,3,1,1,4,7,3,5,4,6,2,1,28
G3,Isaiah Hartenstein,OKC,5,8,4,2,2,4,0,1,1,2,0,0,-6
G3,Isaiah Joe,OKC,3,0,1,0,1,1,1,1,0,0,0,0,-2
G3,Shai Gilgeous-Alexander,OKC,26,2,12,2,6,17,2,4,12,12,0,1,11
